"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2670","14174.00","5.31","48.00","49737.00","18.63","60.00","4762.00","11.81","12.00","0.25","4"
"40320.00","2670","14174.00","5.31","48.00","49737.00","18.63","60.00","4762.00","11.81","12.00","0.25","4"
"40320.00","2688","19109.00","7.11","67.00","55135.00","20.51","82.00","4294.00","10.65","12.00","0.28","6"
"40320.00","2688","19109.00","7.11","67.00","55135.00","20.51","82.00","4294.00","10.65","12.00","0.28","6"
"40320.00","2670","18496.00","6.93","48.00","54400.00","20.37","68.00","4427.00","10.98","12.00","0.27","4"
"40320.00","2670","18496.00","6.93","48.00","54400.00","20.37","68.00","4427.00","10.98","12.00","0.27","4"
"40320.00","2717","22565.00","8.31","70.00","58838.00","21.66","80.00","4057.00","10.06","12.00","0.30","5"
"40320.00","2682","23342.00","8.70","55.00","59332.00","22.12","70.00","4336.00","10.75","12.00","0.28","4"
"40320.00","2682","23342.00","8.70","55.00","59332.00","22.12","70.00","4336.00","10.75","12.00","0.28","4"
"40320.00","2711","24057.00","8.87","81.00","60618.00","22.36","96.00","3769.00","9.35","12.00","0.32","6"
"40320.00","2711","24057.00","8.87","81.00","60618.00","22.36","96.00","3769.00","9.35","12.00","0.32","6"
"40320.00","2696","17675.00","6.56","60.00","53695.00","19.92","71.00","4308.00","10.68","12.00","0.28","5"
"40320.00","2673","19145.00","7.16","73.00","55056.00","20.60","88.00","4418.00","10.96","12.00","0.27","6"
"40320.00","2678","16666.00","6.22","50.00","52328.00","19.54","65.00","4658.00","11.55","12.00","0.26","4"
"40320.00","2678","16666.00","6.22","50.00","52328.00","19.54","65.00","4658.00","11.55","12.00","0.26","4"
"40320.00","2719","24578.00","9.04","64.00","61417.00","22.59","79.00","3491.00","8.66","12.00","0.34","5"
"40320.00","2719","24578.00","9.04","64.00","61417.00","22.59","79.00","3491.00","8.66","12.00","0.34","5"
"40320.00","2690","18432.00","6.85","68.00","54407.00","20.23","81.00","4340.00","10.76","12.00","0.28","5"
"40320.00","2707","22685.00","8.38","58.00","59318.00","21.91","78.00","3697.00","9.17","12.00","0.32","4"
"40320.00","2707","22685.00","8.38","58.00","59318.00","21.91","78.00","3697.00","9.17","12.00","0.32","4"
"40320.00","2686","19411.00","7.23","56.00","55436.00","20.64","66.00","4300.00","10.66","12.00","0.28","4"
"40320.00","2686","19411.00","7.23","56.00","55436.00","20.64","66.00","4300.00","10.66","12.00","0.28","4"
"40320.00","2721","22010.00","8.09","62.00","58260.00","21.41","77.00","4078.00","10.11","12.00","0.29","5"
"40320.00","2700","18386.00","6.81","55.00","54460.00","20.17","70.00","4266.00","10.58","12.00","0.28","4"
"40320.00","2700","18386.00","6.81","55.00","54460.00","20.17","70.00","4266.00","10.58","12.00","0.28","4"
"40320.00","2696","19810.00","7.35","66.00","55747.00","20.68","81.00","4388.00","10.88","12.00","0.27","5"
"40320.00","2696","19810.00","7.35","66.00","55747.00","20.68","81.00","4388.00","10.88","12.00","0.27","5"
"40320.00","2681","17630.00","6.58","78.00","53371.00","19.91","93.00","4582.00","11.36","12.00","0.26","5"
"40320.00","2686","17329.00","6.45","53.00","53125.00","19.78","65.00","4529.00","11.23","12.00","0.26","4"
"40320.00","2686","17329.00","6.45","53.00","53125.00","19.78","65.00","4529.00","11.23","12.00","0.26","4"
"40320.00","2700","18729.00","6.94","60.00","54930.00","20.34","70.00","4119.00","10.22","12.00","0.29","4"
"40320.00","2700","18729.00","6.94","60.00","54930.00","20.34","70.00","4119.00","10.22","12.00","0.29","4"
"40320.00","2674","16030.00","5.99","55.00","51760.00","19.36","70.00","4600.00","11.41","12.00","0.26","4"
"40320.00","2673","17621.00","6.59","63.00","53303.00","19.94","78.00","4643.00","11.52","12.00","0.26","4"
"40320.00","2673","17621.00","6.59","63.00","53303.00","19.94","78.00","4643.00","11.52","12.00","0.26","4"
"40320.00","2714","19970.00","7.36","63.00","56144.00","20.69","78.00","4146.00","10.28","12.00","0.29","5"
"40320.00","2714","19970.00","7.36","63.00","56144.00","20.69","78.00","4146.00","10.28","12.00","0.29","5"
"40320.00","2698","26544.00","9.84","73.00","63129.00","23.40","93.00","3750.00","9.30","12.00","0.32","6"
"40320.00","2696","18137.00","6.73","53.00","54388.00","20.17","65.00","4074.00","10.10","12.00","0.29","4"
