"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2686","16591.00","6.18","48.00","52770.00","19.65","63.00","4151.00","10.30","12.00","0.29","3"
"40320.00","2678","16620.00","6.21","48.00","52468.00","19.59","63.00","4475.00","11.10","12.00","0.27","4"
"40320.00","2678","16620.00","6.21","48.00","52468.00","19.59","63.00","4475.00","11.10","12.00","0.27","4"
"40320.00","2682","21370.00","7.97","68.00","57646.00","21.49","81.00","4049.00","10.04","12.00","0.30","5"
"40320.00","2685","22208.00","8.27","58.00","58481.00","21.78","75.00","4050.00","10.04","12.00","0.30","4"
"40320.00","2685","22208.00","8.27","58.00","58481.00","21.78","75.00","4050.00","10.04","12.00","0.30","4"
"40320.00","2689","15417.00","5.73","48.00","51312.00","19.08","63.00","4440.00","11.01","12.00","0.27","4"
"40320.00","2686","21257.00","7.91","60.00","57336.00","21.35","70.00","4246.00","10.53","12.00","0.28","5"
"40320.00","2686","21257.00","7.91","60.00","57336.00","21.35","70.00","4246.00","10.53","12.00","0.28","5"
"40320.00","2706","20900.00","7.72","70.00","57373.00","21.20","83.00","3852.00","9.55","12.00","0.31","5"
"40320.00","2676","21327.00","7.97","60.00","57364.00","21.44","79.00","4283.00","10.62","12.00","0.28","5"
"40320.00","2676","21327.00","7.97","60.00","57364.00","21.44","79.00","4283.00","10.62","12.00","0.28","5"
"40320.00","2693","16863.00","6.26","55.00","52711.00","19.57","70.00","4477.00","11.10","12.00","0.27","4"
"40320.00","2697","19740.00","7.32","55.00","56014.00","20.77","75.00","4041.00","10.02","12.00","0.30","4"
"40320.00","2697","19740.00","7.32","55.00","56014.00","20.77","75.00","4041.00","10.02","12.00","0.30","4"
"40320.00","2678","17678.00","6.60","56.00","53306.00","19.91","66.00","4707.00","11.67","12.00","0.25","4"
"40320.00","2676","17179.00","6.42","60.00","53091.00","19.84","70.00","4406.00","10.93","12.00","0.27","5"
"40320.00","2693","18881.00","7.01","60.00","55004.00","20.42","80.00","4212.00","10.45","12.00","0.28","4"
"40320.00","2688","15010.00","5.58","54.00","50785.00","18.89","64.00","4545.00","11.27","12.00","0.26","4"
"40320.00","2688","15010.00","5.58","54.00","50785.00","18.89","64.00","4545.00","11.27","12.00","0.26","4"
"40320.00","2685","19518.00","7.27","48.00","55571.00","20.70","63.00","4277.00","10.61","12.00","0.28","4"
"40320.00","2675","17262.00","6.45","66.00","53254.00","19.91","81.00","4328.00","10.73","12.00","0.28","5"
"40320.00","2692","21671.00","8.05","73.00","57735.00","21.45","88.00","4271.00","10.59","12.00","0.28","6"
"40320.00","2692","21671.00","8.05","73.00","57735.00","21.45","88.00","4271.00","10.59","12.00","0.28","6"
"40320.00","2694","24694.00","9.17","88.00","61110.00","22.68","103.00","3912.00","9.70","12.00","0.31","6"
"40320.00","2675","16324.00","6.10","45.00","52188.00","19.51","65.00","4461.00","11.06","12.00","0.27","3"
"40320.00","2675","16324.00","6.10","45.00","52188.00","19.51","65.00","4461.00","11.06","12.00","0.27","3"
"40320.00","2684","17816.00","6.64","55.00","53816.00","20.05","70.00","4335.00","10.75","12.00","0.28","4"
"40320.00","2684","17816.00","6.64","55.00","53816.00","20.05","70.00","4335.00","10.75","12.00","0.28","4"
"40320.00","2676","15553.00","5.81","40.00","51382.00","19.20","56.00","4496.00","11.15","12.00","0.27","4"
"40320.00","2718","21343.00","7.85","52.00","57898.00","21.30","67.00","3768.00","9.35","12.00","0.32","4"
"40320.00","2718","21343.00","7.85","52.00","57898.00","21.30","67.00","3768.00","9.35","12.00","0.32","4"
"40320.00","2674","15572.00","5.82","60.00","51092.00","19.11","78.00","4805.00","11.92","12.00","0.25","5"
